country,location,loc_code,lat,lon,cycle,phenotype_date,Year,Month,Day,NDVI
India,Ludhiana,LDH-NS,30.991,75.736,2017,2017-01-17,2017,1,17,0.77
India,Ludhiana,LDH-NS,30.991,75.736,2017,2017-01-31,2017,1,31,0.83
India,Ludhiana,LDH-NS,30.991,75.736,2017,2017-02-07,2017,2,7,0.83
India,Ludhiana,LDH-NS,30.991,75.736,2017,2017-02-13,2017,2,13,0.84
India,Ludhiana,LDH-NS,30.991,75.736,2017,2017-02-20,2017,2,20,0.83
India,Ludhiana,LDH-NS,30.991,75.736,2017,2017-02-28,2017,2,28,0.83
India,Ludhiana,LDH-NS,30.991,75.736,2017,2017-03-14,2017,3,14,0.74
India,Ludhiana,LDH-NS,30.991,75.736,2017,2017-03-21,2017,3,21,0.67
India,Ludhiana,LDH-NS,30.991,75.736,2017,2017-03-28,2017,3,28,0.52
India,Ludhiana,LDH-NS,30.991,75.736,2017,2017-04-03,2017,4,3,0.31
India,Ludhiana,LDH-NS,30.991,75.736,2018,2018-01-11,2018,1,11,0.72
India,Ludhiana,LDH-NS,30.991,75.736,2018,2018-01-13,2018,1,13,0.72
India,Ludhiana,LDH-NS,30.991,75.736,2018,2018-02-02,2018,2,2,0.79
India,Ludhiana,LDH-NS,30.991,75.736,2018,2018-02-20,2018,2,20,0.8
India,Ludhiana,LDH-NS,30.991,75.736,2018,2018-03-07,2018,3,7,0.74
India,Ludhiana,LDH-NS,30.991,75.736,2018,2018-03-27,2018,3,27,0.5
India,Ludhiana,LDH-NS,30.991,75.736,2019,2019-02-02,2019,2,2,0.79
India,Ludhiana,LDH-NS,30.991,75.736,2019,2019-02-23,2019,2,23,0.81
India,Ludhiana,LDH-NS,30.991,75.736,2019,2019-03-06,2019,3,6,0.8
India,Ludhiana,LDH-NS,30.991,75.736,2019,2019-03-18,2019,3,18,0.69
India,Ludhiana,LDH-NS,30.991,75.736,2019,2019-03-30,2019,3,30,0.61
India,Ludhiana,LDH-NS,30.991,75.736,2019,2019-04-09,2019,4,9,0.37
India,Ludhiana,LDH-NS,30.991,75.736,2020,2019-12-18,2019,12,18,0.59
India,Ludhiana,LDH-NS,30.991,75.736,2020,2020-02-19,2020,2,19,0.85
India,Ludhiana,LDH-NS,30.991,75.736,2020,2020-02-28,2020,2,28,0.82
India,Ludhiana,LDH-NS,30.991,75.736,2020,2020-03-09,2020,3,9,0.79
India,Ludhiana,LDH-NS,30.991,75.736,2020,2020-03-28,2020,3,28,0.67
India,Ludhiana,LDH-NS,30.991,75.736,2020,2020-04-10,2020,4,10,0.25
India,Ludhiana,LDH-NS,30.991,75.736,2021,2021-03-05,2021,3,5,0.83
India,Ludhiana,LDH-NS,30.991,75.736,2021,2021-03-14,2021,3,14,0.73
India,Ludhiana,LDH-NS,30.991,75.736,2021,2021-03-18,2021,3,18,0.79
India,Ludhiana,LDH-NS,30.991,75.736,2021,2021-03-31,2021,3,31,0.68
India,Ludhiana,LDH-NS,30.991,75.736,2021,2021-04-22,2021,4,22,0.24
